control_gene,control_gene_GenePTembedding,control_description_GenePTembedding
AVPR2,"[-0.03535151 -0.0239249  -0.01079334 ... -0.01713295 -0.025943
  0.01710512]","[-0.04412167 -0.00422263 -0.01164657 ... -0.04393415 -0.03573668
  0.01971679]"
SC4MOP,"[-0.00341544 -0.0038938  -0.00438554 ...  0.00068869 -0.00238847
 -0.01355471]","[-0.02028973 -0.01861691 -0.00947034 ... -0.00568962 -0.00331361
 -0.01313302]"
TOR1A,"[-0.02109292 -0.01681955 -0.01258042 ...  0.00868371 -0.01984652
 -0.00563277]","[-0.02905992 -0.02019955 -0.01482003 ... -0.00534655 -0.00837253
 -0.01816905]"
HNRNPLP2,"[-0.01614563  0.01181097  0.01482004 ... -0.0134083   0.01851843
 -0.00774142]","[-0.02403529  0.00541096  0.02596993 ... -0.01259535  0.00420181
 -0.00565279]"
THEMIS2,"[-0.01850091 -0.02356794 -0.01880465 ... -0.01094867 -0.0153806
 -0.02006106]","[-0.04068498 -0.02738362 -0.02096721 ... -0.02505393 -0.00279823
  0.00092163]"
UNC80,"[-7.23019149e-03 -1.76477712e-02  1.50069948e-02 ... -3.63608729e-06
  1.02791525e-02 -3.93099501e-04]","[-0.00794199  0.00060138 -0.00616234 ... -0.02276349 -0.00495378
 -0.00294836]"
RNU6-463P,"[-0.00684447 -0.02193147 -0.01151568 ... -0.01787647  0.00541661
  0.00211861]","[-0.02023003 -0.03090214  0.00161172 ... -0.013961   -0.00137596
 -0.00242304]"
MIR630,"[-0.03098407 -0.0175174   0.00217962 ... -0.00684735 -0.01003294
 -0.01165591]","[-0.05913523 -0.02842741  0.00572371 ... -0.01793233 -0.01610541
 -0.02146956]"
LPCAT2,"[-0.01349126  0.0324389   0.00761988 ... -0.00418413 -0.00795325
 -0.02562183]","[-3.98454852e-02  7.61108007e-03  1.74629856e-02 ... -7.11526489e-03
  2.41342514e-05 -2.28847526e-02]"
TAF11L14,"[-0.02149548 -0.01333255 -0.00742632 ...  0.00464396  0.00366294
 -0.02399993]","[-0.04266177 -0.0221155   0.00302542 ... -0.00968135 -0.01546622
 -0.01010025]"
MIR5684,"[-0.02966681 -0.01062861 -0.00721013 ... -0.00850289 -0.00793647
 -0.00843625]","[-0.06080749 -0.02584188  0.00289004 ... -0.01932309 -0.01325142
 -0.01940085]"
TEX13C,"[-0.0142661  -0.01947459 -0.00025354 ...  0.00345921  0.00589174
 -0.02114875]","[-0.01714    -0.02681876 -0.00939178 ... -0.01607038 -0.01036357
 -0.02252723]"
NUTF2P5,"[-0.01122816 -0.01700304  0.01202518 ...  0.01053601 -0.00426824
 -0.01134002]","[-0.03731278 -0.02975783  0.00912438 ... -0.01644154 -0.01534091
 -0.00248152]"
ACIN1,"[-0.01053804 -0.00609116 -0.00352488 ... -0.02468417 -0.01326075
 -0.01951834]","[-0.03136193  0.00337997  0.00094218 ... -0.02433844 -0.01394157
 -0.00643381]"
SLC22A2,"[-1.41160693e-02  1.29320556e-02 -1.78257196e-07 ... -1.97730213e-02
 -8.03731236e-05  2.84985406e-03]","[-0.00343188  0.01040258  0.00356475 ... -0.04293251 -0.00922297
 -0.01643672]"
CCDC138,"[-0.02407844  0.00722218 -0.00736445 ... -0.01853647 -0.00955956
  0.00244917]","[-0.03943981 -0.0101806  -0.00248002 ... -0.01774257 -0.02133651
  0.00197733]"
ARPIN-AP3S2,"[-0.0173931   0.00134626 -0.00095662 ... -0.01800698 -0.02010779
  0.00848511]","[-0.02601979 -0.00226677  0.00901983 ... -0.0132597  -0.0125238
 -0.02148287]"
CDC42EP3,"[-0.01470443 -0.00533204 -0.01528451 ... -0.02085601 -0.00974
 -0.01841426]","[-0.03620777 -0.01099211 -0.00609253 ... -0.01948036 -0.02048977
 -0.01133951]"
