reference_gene,reference_gene_GenePTembedding,reference_description_GenePTembedding
MXD1,"[-0.02123387 -0.00152769 -0.01441443 ... -0.01710209 -0.01236191
 -0.02678302]","[-0.03962741 -0.01072256 -0.00552902 ... -0.01385381 -0.0190901
 -0.00629868]"
AKT2,"[-0.03004799 -0.03082881 -0.00561717 ... -0.01028525  0.00082751
  0.0003151 ]","[-0.04248535 -0.03062777 -0.02192876 ... -0.01589641 -0.009877
  0.00747571]"
AKT3,"[-0.03211277 -0.0309744  -0.00346146 ... -0.01037113  0.01011963
 -0.01092046]","[-0.04788868 -0.04405145 -0.00617475 ... -0.01557917 -0.00407386
 -0.0083268 ]"
PIK3CA,"[-0.02699393 -0.02939167  0.01544352 ...  0.01481185 -0.00786356
 -0.01632011]","[-0.02431542 -0.0204641  -0.00202734 ... -0.00219894 -0.00686373
 -0.00610428]"
PTEN,"[-0.02818697 -0.0183189   0.0072567  ...  0.01354234 -0.0009932
 -0.0239353 ]","[-0.04014727 -0.00919073  0.00626817 ... -0.00321482  0.00206517
 -0.00789899]"
MTOR,"[-0.03198018 -0.05226364 -0.01736617 ...  0.01563231 -0.00710059
  0.00079727]","[-0.04339543 -0.03100414 -0.01806847 ... -0.00307028 -0.01230704
 -0.01503545]"
YES1,"[ 0.0095252  -0.01563074 -0.00998828 ... -0.01716959  0.0041036
 -0.03621999]","[-0.03127978 -0.0270792  -0.03083066 ... -0.01721181  0.00244869
 -0.01336788]"
FYN,"[ 0.00241069 -0.04063788 -0.02311192 ... -0.00603284  0.0092308
 -0.01892245]","[-0.03756614 -0.03454418 -0.02430597 ... -0.01621701 -0.00361789
 -0.00527867]"
LYN,"[-0.01253645 -0.01225816 -0.00012569 ... -0.00851445 -0.02288632
 -0.01978534]","[-0.03283723 -0.00876044 -0.00913213 ... -0.01967414 -0.0170082
 -0.00758127]"
ABL1,"[-0.01001292 -0.00940502 -0.01544212 ... -0.0152325  -0.01164098
 -0.00320197]","[-0.03580018 -0.01684484 -0.02829621 ... -0.02694133 -0.02040141
  0.01093677]"
PTK2,"[-0.00881976 -0.0160879  -0.00938461 ...  0.003287   -0.01580208
 -0.00346734]","[-0.03976616 -0.01065165 -0.0274748  ... -0.01719758 -0.02219417
 -0.0084955 ]"
MAPK1,"[-0.03283268 -0.01579859 -0.01669236 ... -0.01116548 -0.00612491
 -0.00412051]","[-0.03841352 -0.0214269  -0.01474067 ... -0.01786435 -0.00156587
 -0.00189422]"
MAP2K1,"[-0.0287665  -0.00574868 -0.0039128  ... -0.00709917 -0.02031353
 -0.00911996]","[-0.04568613 -0.0192302  -0.01684724 ... -0.01947362 -0.01170339
 -0.00193615]"
MAP2K2,"[-0.03017581 -0.00474059 -0.00509432 ... -0.00980516 -0.02310129
 -0.00653897]","[-0.05347928 -0.01422736 -0.01660508 ... -0.01194059 -0.01872295
 -0.00866635]"
BRAF,"[-0.03967857 -0.02324105 -0.02755168 ... -0.01100379 -0.00164489
 -0.00047432]","[-0.04344004 -0.01453127 -0.02785801 ... -0.01064858 -0.01150072
  0.00168506]"
